week;rank;title;singer;writer;album;isMV
38;21;catena;toc tien touliver;bui cong nam;catena single;true
38;22;ai la ai cua ai;trinh thang binh;trinh thang binhnguyen van trung;;false
38;23;dep nhat la em;soobin hoang son jiyeon;krazy parkeddy s park;;false
38;24;roi bo;hoa minzy;vu huy hoang;roi bo single;true
38;25;em hanh phuc chu;nguyen dinh vu;bao thach;em hanh phuc chu single;false
38;26;roi nguoi thuong cung hoa nguoi dung;hien ho;rin9;;false
38;27;do em biet anh dang nghi gi;den justatee bien;den;do em biet anh dang nghi gi single;false
38;28;vo thuong;karik orange;karik;;false
38;29;con yeu dau ai roi di;duc phuc;nguyen hong thuan;con yeu dau ai roi di single;true
38;30;phia sau em;kay tran binz;kay tranbinz;;false
