week;rank;title;singer;writer;album;isMV
42;33;nguoi am phu;osad vrt;osadvrt;;false
42;34;vo thuong;karik orange;karik;;false
42;35;u co anh day;tino;tang nhat tue;u co anh day single;false
42;36;dep nhat la em;soobin hoang son jiyeon;krazy parkeddy s park;;false
42;37;vo cung vi anh thuong em;phan duy anh;vo hoai phuc;vo cung vi anh thuong em single;false
42;38;cuoc song em on khong;anh tu;vuong anh tu;;false
42;39;tam su tuoi 30 ong ngoai tuoi 30 ost;trinh thang binh;;;true
42;40;co gai m52;huyr tung viu;huyrtung viu;;false
43;1;thang dien;justatee phuong ly;virussjustatee;;true
43;2;hongkong1 official version;nguyen trong tai san ji double x;nguyen trong taisan jidouble x;;false
43;3;vo tinh;xesi hoaprox;xesi;vo tinh single;false
43;4;cang niu giu cang de mat;mr siro;mr siro;;false
43;5;chuyen tinh toi;kay tran nguyen khoa kass;nguyen khoa;chuyen tinh toi single;true
43;6;dung noi toi dien;hien ho;phuc bo;;false
43;7;tan cung noi nho;will;andiez;tan cung noi nho single;true
43;8;con yeu dau ai roi di;duc phuc;nguyen hong thuan;con yeu dau ai roi di single;true
43;9;buon khong em;dat g;dat g;;false
43;10;yeu don phuong;onlyc karik;onlyckarik;;false
43;11;mai mai se het vao ngay mai;andiez;andiez;;false
43;12;dung quen ten anh;hoa vinh;dat g;;false
43;13;suyt nua thi chuyen di cua thanh xuan ost;andiez;andiez;suyt nua thi chuyen di cua thanh xuan ost single;false
43;14;thay the;ho gia hung;dong thien duc;thay the single;false
43;15;duyen minh lo;huong tram;tu dua;duyen minh lo single;true
43;16;nguoi ta;si thanh;huynh quoc huy;;false
43;17;thanh xuan;da lab;da lab;;false
43;18;nhu loi don;bao anh;khac hung;nhu loi don single;false
43;19;sai nguoi sai thoi diem;thanh hung;thanh hung;;false
43;20;tam tu em giau;wendy thao;wendy thao;tam tu em giau single;false
43;21;dung nhu thoi quen;jaykii sara luu;duong khac linhhoang huy longjaykii;;false
43;22;tan cung noi nho new version;will han sara;andiez;;false
43;23;don coi tinh toi;chau khai phong;duy cuong;don coi tinh toi single;true
43;24;lo thuong mot nguoi;nguyen dinh vu;nguyen dinh vu;lo thuong mot nguoi single;true
43;25;em ngu chua;trinh thang binh osad;trinh thang binhosad;;false
43;26;yeu roi gao nep gao te ost;tino;tang nhat tue;;false
